property_type,price: ,sleeping_rooms,area
house,545605,2,206m2
appartment,81687,3,181m2
appartment,937789,3,222m2
appartment,435023,5,160m2
house,260424,3,146m2
house,796477,4,192m2
house,656229,5,130m2
appartment,958877,3,206m2
appartment,872054,4,188m2
house,680779,5,131m2
house,546500,3,148m2
appartment,283204,5,224m2
appartment,669787,5,164m2
appartment,992229,5,159m2
appartment,69264,4,184m2
appartment,796771,4,131m2
appartment,823111,4,181m2
appartment,968175,3,227m2
appartment,433865,3,188m2
appartment,327100,4,183m2
appartment,681510,3,204m2
appartment,329117,5,155m2
appartment,358311,5,234m2
appartment,80684,2,160m2
house,360300,3,218m2
appartment,63878,2,247m2
house,85679,5,208m2
appartment,448350,5,209m2
appartment,330499,4,237m2
appartment,310433,3,146m2
house,401647,4,233m2
appartment,88149,2,178m2
appartment,391010,5,142m2
appartment,717124,5,185m2
appartment,883065,2,170m2
appartment,137100,4,223m2
appartment,813145,4,178m2
appartment,358940,2,132m2
appartment,617297,3,156m2
house,991600,5,151m2
house,460436,3,225m2
appartment,583598,4,221m2
house,916877,5,175m2
appartment,139627,2,209m2
house,755285,2,185m2
appartment,551385,2,180m2
house,833166,3,225m2
appartment,454257,3,183m2
appartment,83747,2,191m2
appartment,561635,2,199m2
house,66206,4,146m2
appartment,74737,5,230m2
appartment,669713,2,188m2
appartment,750393,2,213m2
appartment,247175,3,162m2
appartment,18319,3,169m2
appartment,661648,5,138m2
appartment,301904,4,205m2
house,125733,5,198m2
appartment,589380,4,184m2
appartment,765569,2,228m2
appartment,940600,4,182m2
house,320667,3,145m2
appartment,108044,5,234m2
appartment,752211,3,165m2
appartment,19077,4,218m2
appartment,338411,3,152m2
appartment,163471,5,158m2
appartment,640965,5,239m2
appartment,520106,3,234m2
house,192901,4,139m2
appartment,124486,2,195m2
appartment,828921,4,145m2
appartment,337519,3,181m2
appartment,274658,4,174m2
appartment,186224,3,195m2
appartment,584532,4,230m2
house,578256,5,133m2
house,313539,3,198m2
appartment,921119,2,217m2
house,4601,3,245m2
appartment,488997,5,183m2
appartment,542046,4,150m2
appartment,365273,2,242m2
house,969189,3,164m2
house,970310,5,247m2
appartment,520555,5,197m2
appartment,261469,4,162m2
appartment,760307,3,241m2
house,204467,2,163m2
appartment,235239,5,186m2
appartment,268932,4,157m2
house,996370,4,170m2
house,949020,4,142m2
appartment,217461,4,194m2
appartment,866408,5,174m2
appartment,25941,2,163m2
appartment,198823,5,150m2
house,463436,3,146m2
house,750731,5,166m2
house,73205,2,247m2
appartment,656447,3,178m2
house,680741,5,227m2
house,949263,4,232m2
appartment,7496,3,174m2
appartment,602753,4,214m2
appartment,9953,2,207m2
house,19133,4,202m2
house,953840,5,221m2
appartment,840208,2,144m2
appartment,259114,2,132m2
appartment,671204,3,247m2
house,733467,5,183m2
appartment,924926,4,227m2
appartment,973554,2,183m2
appartment,387878,5,142m2
house,795607,5,169m2
appartment,947187,4,187m2
house,339542,5,223m2
appartment,520478,5,176m2
appartment,688808,4,187m2
appartment,858482,5,188m2
appartment,220514,4,194m2
house,344325,2,197m2
appartment,169367,5,176m2
appartment,893941,5,133m2
appartment,458891,4,199m2
house,327712,5,156m2
appartment,343888,3,231m2
appartment,464391,2,145m2
appartment,781752,2,138m2
appartment,51175,4,235m2
appartment,105589,2,229m2
appartment,49981,2,206m2
