"Kleine Veldstraat   1,B",house,villa,549000,for sale,3,1,0,1,0,0,1041m2,nullm2,4,0,as new
1150    —        Kraainem      |,house,exceptional property,1150000,for sale,10,1,0,0,0,1,1886m2,629m2,4,0,good
Rue Léopold (MT)   100,house,house,50000,for sale,2,0,0,0,1,0,126m2,110m2,2,0,to be done up
Rue des Pierres   94,house,house,119500,for sale,2,1,0,0,0,1,0m2,85m2,3,0,good
Eikenlaan   16,house,house,320000,for sale,4,1,0,0,0,0,700m2,167m2,4,1,
"Bruggestraat   586,",house,house,565000,for sale,4,0,0,0,0,0,2800m2,250m2,4,0,as new
8630    —        Veurne      |,house,house,199000,for sale,4,0,0,0,0,0,470m2,220m2,2,0,to renovate
De Schaetzengaarde   48,house,house,299000,for sale,3,0,0,0,1,1,175m2,223m2,2,0,as new
Edmond De Praterestraat   6,house,mansion,339000,for sale,7,0,0,0,0,1,229m2,nullm2,nu,0,to renovate
Hoogboomsteenweg   71,house,villa,380000,for sale,4,1,0,0,0,0,2935m2,384m2,4,1,
rue Ernest Solvay   79,house,house,127500,for sale,4,0,0,0,0,0,175m2,225m2,3,0,to renovate
Blauwesteen   65,house,house,205000,for sale,4,1,0,1,0,0,100m2,200m2,nu,0,as new
Hoeksken   70,house,house,289000,for sale,3,1,0,0,0,1,355m2,nullm2,3,0,just renovated
Raaigrasstraat   32,house,house,299000,for sale,3,0,0,0,0,0,225m2,170m2,2,0,
Ardooisesteenweg   152,house,house,215000,for sale,3,0,0,0,1,1,291m2,150m2,nu,0,to be done up
Biestmolenstraat   6,house,farmhouse,300000,for sale,3,1,0,0,0,0,2719m2,135m2,4,0,
Zwijnaardsesteenweg   115,house,house,497500,for sale,3,0,0,0,0,1,250m2,216m2,nu,0,just renovated
Rue de Viane   4,house,farmhouse,150000,for sale,1,0,0,0,0,0,4655m2,nullm2,4,0,to renovate
4500    —        Huy      |,house,house,229000,for sale,3,1,0,0,1,0,540m2,184m2,,0,
"Maïsstraat   47,",house,house,339000,for sale,3,0,0,0,0,0,70m2,125m2,nu,0,good
Piepelboomstraat   78          Box -,house,house,425000,for sale,4,1,0,0,1,0,1280m2,133m2,nu,0,
Chemin de Maubray   5,house,house,620000,for sale,3,0,0,0,0,0,1550m2,188m2,4,0,
Van Stralenstraat   62,house,apartment block,635000,for sale,0,0,0,0,0,0,62m2,nullm2,1,0,just renovated
Dorekesveld   9,house,house,645000,for sale,4,1,0,0,1,1,360m2,250m2,3,0,
8490    —        Jabbeke      |,house,villa,995000,for sale,3,1,1,0,0,0,3391m2,302m2,nu,0,as new
Rue Chevalier de la Barre   31,house,house,40000,for sale,3,1,0,0,1,0,0m2,117m2,2,0,to renovate
Rue de Rocourt   149,house,house,50000,for sale,1,0,0,0,0,0,165m2,nullm2,3,0,to renovate
6680    —        SAINTE-ODE      |,house,house,75000,for sale,2,1,0,0,0,0,886m2,nullm2,3,0,to renovate
Impasse Magnee   4,house,house,80000,for sale,1,1,0,0,0,1,0m2,103m2,2,0,good
Spaarzaamheidstraat   80,house,house,80000,for sale,3,0,0,0,1,0,118m2,102m2,2,0,to renovate
Nieuwpoortsesteenweg   305,house,house,85000,for sale,3,0,0,0,1,0,162m2,118m2,2,0,to renovate
Rue de l'Abattoir   4,house,house,95000,for sale,2,1,0,0,0,0,56m2,90m2,,0,
rue de Gérouville   2,house,house,110000,for sale,2,1,0,0,0,0,151m2,165m2,2,0,
Rue Buissonnet   62,house,house,110000,for sale,3,0,0,0,0,0,288m2,115m2,2,0,good
7850    —        Petit-Enghien      |,house,house,110000,for sale,3,0,0,0,0,0,0m2,217m2,3,0,to renovate
Rue Jean Volders   4,house,house,115000,for sale,2,1,0,0,0,0,160m2,126m2,,0,
Weverijstraat   37,house,house,115000,for sale,1,1,0,0,1,0,38m2,80m2,nu,0,to be done up
Avenue Emile Herman   452,house,mixed use building,119000,for sale,3,1,0,0,0,1,235m2,300m2,2,0,to be done up
Mandellaan   444,house,house,120000,for sale,2,1,0,0,0,1,270m2,94m2,2,0,to be done up
7134    —        RESSAIX      |,house,house,125000,for sale,3,1,0,0,0,1,220m2,121m2,2,0,
7822    —        Ghislenghien      |,house,house,135000,for sale,3,1,0,0,1,0,740m2,156m2,3,0,to renovate
Rue Guillaume Delarge   102,house,house,139000,for sale,2,1,0,0,0,0,60m2,145m2,3,0,to renovate
Rue du Papillon   9,house,house,139500,for sale,3,1,0,0,0,0,115m2,115m2,2,0,as new
Komeetstraat   36,house,house,140000,for sale,2,1,0,0,0,1,0m2,98m2,2,0,to renovate
6060    —        Gilly      |,house,house,140000,for sale,3,1,0,0,1,0,325m2,nullm2,3,0,good
Rue de Jace   193,house,house,144500,for sale,3,1,0,0,1,1,235m2,160m2,2,0,good
Stationsstraat   77,house,house,145000,for sale,3,0,0,0,0,0,933m2,181m2,3,0,to renovate
Steenweg   74,house,house,145000,for sale,3,0,0,0,0,0,255m2,154m2,nu,0,to renovate
Allee de la Taille des Rys   37,house,chalet,145000,for sale,2,1,0,0,1,1,399m2,66m2,4,0,
place des Martyrs   11,house,house,145000,for sale,3,1,0,0,1,1,190m2,155m2,2,0,to renovate
5070    —        AISEMONT      |,house,house,149000,for sale,3,1,0,0,0,0,0m2,105m2,2,0,good
1380    —        Lasne Plancenoit      |,house,house,150000,for sale,2,0,0,0,0,1,242m2,120m2,2,0,to be done up
"Vijfwegenstraat   364,",house,house,154000,for sale,3,0,0,0,0,1,153m2,127m2,2,0,to renovate
Avenue de la Gare   182          Box a,house,house,155000,for sale,1,1,0,0,1,0,496m2,250m2,2,0,to renovate
6560    —        Erquelinnes      |,house,house,155000,for sale,3,1,0,0,1,1,320m2,138m2,3,0,to renovate
Rue Lacroix   34,house,house,159000,for sale,4,1,0,0,1,1,120m2,135m2,2,0,to be done up
Marktstraat   16,house,house,159000,for sale,5,1,0,0,0,1,155m2,330m2,nu,0,to renovate
6010    —        Couillet      |,house,house,159900,for sale,3,1,0,0,1,1,438m2,101m2,3,0,good
Rue du Bosquet   26,house,apartment block,160500,for sale,4,1,0,0,1,0,174m2,190m2,2,0,
5500    —        Dinant      |,house,house,167500,for sale,3,1,0,0,1,1,600m2,157m2,3,0,good
Rue Gustave Trasenster   118,house,house,169000,for sale,5,0,0,0,1,0,300m2,230m2,2,0,to renovate
Rumbeeksesteenweg   160,house,house,169000,for sale,3,0,0,0,0,0,80m2,138m2,nu,0,as new
Mevrouw Courtmanspark   49,house,house,170000,for sale,3,1,0,0,0,1,124m2,nullm2,3,0,to be done up
Grand Rue   23,house,house,175000,for sale,1,1,0,0,0,0,28m2,100m2,2,0,
rue Docteur Albert Hustin   6,house,house,178000,for sale,3,1,0,0,0,0,406m2,145m2,2,0,
Heidebloemstraat   47,house,house,180000,for sale,3,0,0,0,0,0,135m2,212m2,3,0,to renovate
7012    —        Jemappes      |,house,mixed use building,180000,for sale,5,0,0,0,0,0,100m2,255m2,,0,
Ledebaan   37,house,house,180000,for sale,2,1,0,0,0,1,107m2,130m2,2,0,to renovate
Rue de Souvret   78,house,house,184000,for sale,3,1,0,0,0,1,730m2,186m2,4,0,good
6040    —        Jumet      |,house,house,185000,for sale,5,1,0,0,0,1,120m2,200m2,2,0,just renovated
rue des Sartys   55,house,house,185000,for sale,3,1,0,0,1,1,290m2,165m2,3,0,
Ooststraat   6,house,house,185000,for sale,4,1,0,0,0,1,396m2,nullm2,4,0,just renovated
Rue des Trixhes   45,house,house,189000,for sale,4,1,0,0,1,1,460m2,160m2,2,0,good
Marktstraat   18,house,house,189000,for sale,5,0,0,0,0,0,300m2,257m2,nu,0,to renovate
"Ieperstraat   54,",house,house,192000,for sale,3,0,0,0,0,0,320m2,136m2,2,0,to renovate
6460    —        Chimay      |,house,house,195000,for sale,4,1,0,0,1,1,1500m2,265m2,4,0,to be done up
Rue de l'ecole   54,house,house,195000,for sale,3,0,0,0,0,0,0m2,125m2,2,0,good
Polderstraat   52,house,house,195000,for sale,3,1,0,0,0,1,362m2,137m2,2,0,to renovate
Lessensestraat   1,house,house,195000,for sale,4,1,0,0,0,1,384m2,438m2,nu,0,to renovate
Meersstraat   87,house,house,199000,for sale,2,1,0,0,0,1,0m2,85m2,nu,0,as new
Heistraat   45,house,house,199000,for sale,2,0,0,0,0,0,319m2,126m2,nu,0,to renovate
Van Cromphoutstraat   16,house,house,199000,for sale,5,1,0,0,0,1,260m2,239m2,2,0,to renovate
5500    —        Dinant      |,house,house,200000,for sale,3,1,0,0,0,0,0m2,135m2,nu,0,to renovate
Rue Restaumont   21,house,villa,200000,for sale,3,1,0,0,1,0,711m2,357m2,4,0,to be done up
Meirgatstraat   21,house,house,200000,for sale,3,0,0,0,0,0,106m2,110m2,nu,0,to be done up
Oostrozebekestraat   23,house,house,205000,for sale,3,0,0,0,0,1,100m2,219m2,nu,0,as new
